Date,Stock,Sentiment
2023-05-22,TCS,1.0
2023-05-17,TCS,-1.0
2023-05-19,TCS,0.0
2023-05-17,TCS,-1.0
2023-05-10,TCS,-1.0
2023-05-19,TCS,0.0
2023-05-11,TCS,1.0
2023-05-19,TCS,-1.0
2023-04-25,TCS,-1.0
2023-04-25,TCS,-1.0
2023-05-19,TCS,0.0
2023-05-19,TCS,0.0
2023-04-27,TCS,-1.0
2023-05-22,TCS,0.0
2023-05-03,TCS,-1.0
2023-03-17,TCS,-1.0
2023-05-17,TCS,0.0
2023-05-22,TCS,0.0
2023-05-17,TCS,-1.0
2023-05-20,TCS,0.0
2023-04-28,TCS,-1.0
2023-04-27,TCS,1.0
2023-05-10,TCS,-1.0
2023-04-28,TCS,-1.0
2023-05-12,TCS,-1.0
2023-05-21,TCS,-1.0
2023-05-20,TCS,0.0
2023-04-29,TCS,-1.0
2023-05-03,TCS,-1.0
2023-05-04,TCS,-1.0
2023-05-16,TCS,-1.0
2023-05-17,TCS,-1.0
2023-05-15,TCS,1.0
2023-05-19,TCS,0.0
2023-05-04,TCS,-1.0
2023-05-15,TCS,0.0
2023-05-17,TCS,1.0
2023-05-14,TCS,-1.0
2023-03-20,TCS,-1.0
2023-04-13,TCS,-1.0
2023-02-02,TCS,1.0
2023-05-16,TCS,0.0
2023-05-17,TCS,0.0
2023-04-13,TCS,-1.0
2023-04-13,TCS,1.0
2023-04-20,TCS,-1.0
2023-05-18,TCS,0.0
2023-04-14,TCS,-1.0
2023-05-18,TCS,0.0
2023-04-13,TCS,-1.0
2023-01-09,TCS,-1.0
2023-05-19,TCS,0.0
2023-05-08,TCS,0.0
2023-04-19,TCS,0.0
2023-05-08,TCS,0.0
2023-05-09,TCS,-1.0
2023-01-10,TCS,1.0
2023-05-09,TCS,0.0
2023-05-10,TCS,0.0
2023-01-10,TCS,-1.0
2023-05-12,TCS,0.0
2023-05-11,TCS,0.0
2023-05-05,TCS,0.0
2023-05-05,TCS,1.0
2023-05-03,TCS,0.0
2023-05-03,TCS,0.0
2023-05-04,TCS,0.0
2023-05-05,TCS,-1.0
2023-04-30,TCS,-1.0
2023-04-27,TCS,1.0
2023-05-03,TCS,0.0
2023-04-29,TCS,0.0
2023-04-21,TCS,-1.0
2023-04-23,TCS,-1.0
2023-04-24,TCS,0.0
2023-04-24,TCS,-1.0
2023-04-23,TCS,-1.0
2023-04-21,TCS,-1.0
2023-04-21,TCS,-1.0
2023-04-21,TCS,0.0
2023-04-22,TCS,0.0
2023-04-20,TCS,-1.0
2023-04-20,TCS,0.0
2023-04-20,TCS,0.0
2023-04-18,TCS,-1.0
2023-04-20,TCS,0.0
2023-04-17,TCS,-1.0
2023-04-19,TCS,-1.0
2023-04-17,TCS,-1.0
2023-04-17,TCS,-1.0
2023-04-17,TCS,-1.0
2023-04-17,TCS,0.0
2023-04-17,TCS,-1.0
2023-04-18,TCS,0.0
2023-04-14,TCS,-1.0
2023-04-17,TCS,-1.0
2023-04-14,TCS,-1.0
2023-04-15,TCS,-1.0
2023-04-14,TCS,-1.0
2023-04-13,TCS,0.0
2023-04-13,TCS,-1.0
2023-04-12,TCS,1.0
2023-04-13,TCS,-1.0
2023-04-13,TCS,1.0
2023-04-12,TCS,-1.0
2023-04-13,TCS,-1.0
2023-04-13,TCS,-1.0
2023-04-13,TCS,-1.0
2023-04-17,TCS,-1.0
2023-04-12,TCS,-1.0
2023-04-12,TCS,1.0
2023-04-13,TCS,-1.0
2023-04-12,TCS,-1.0
2023-04-11,TCS,-1.0
2023-02-24,TCS,-1.0
2023-04-13,TCS,0.0
2023-04-12,TCS,1.0
2023-04-11,TCS,1.0
2023-04-10,TCS,0.0
2023-04-11,TCS,-1.0
2023-04-10,TCS,-1.0
2023-04-11,TCS,0.0
2023-04-10,TCS,1.0
2023-04-12,TCS,1.0
2023-04-09,TCS,-1.0
2023-04-09,TCS,-1.0
2023-04-10,TCS,1.0
2023-04-09,TCS,-1.0
2023-04-03,TCS,1.0
2023-04-05,TCS,-1.0
2023-04-07,TCS,-1.0
2023-04-04,TCS,0.0
2023-04-03,TCS,-1.0
2023-04-09,TCS,1.0
2023-04-01,TCS,-1.0
2023-03-29,TCS,1.0
2023-04-02,TCS,0.0
2023-03-26,TCS,-1.0
2023-03-21,TCS,-1.0
2023-03-22,TCS,0.0
2023-03-26,TCS,-1.0
2023-03-23,TCS,0.0
2023-03-18,TCS,0.0
2023-03-19,TCS,-1.0
2023-03-22,TCS,-1.0
2023-03-27,TCS,-1.0
2023-03-17,TCS,0.0
2023-03-17,TCS,0.0
2023-03-20,TCS,0.0
2023-03-17,TCS,-1.0
2023-03-17,TCS,1.0
2023-03-17,TCS,0.0
2023-03-17,TCS,-1.0
2023-03-14,TCS,1.0
2023-03-17,TCS,0.0
2023-03-17,TCS,0.0
2023-03-16,TCS,-1.0
2023-03-02,TCS,0.0
2023-03-02,TCS,-1.0
2023-03-02,TCS,0.0
2023-03-03,TCS,1.0
2023-03-16,TCS,0.0
2023-02-26,TCS,-1.0
2023-02-27,TCS,-1.0
2023-02-26,TCS,0.0
2023-05-23,TCS,-1.0
2023-04-12,TCS,0.0
2023-02-16,TCS,-1.0
2023-02-19,TCS,-1.0
2023-03-01,TCS,-1.0
2023-02-17,TCS,0.0
2023-02-15,TCS,0.0
2023-02-20,TCS,-1.0
2023-02-17,TCS,-1.0
2023-02-23,TCS,-1.0
2023-02-10,TCS,-1.0
2023-05-20,TCS,-1.0
2023-05-21,TCS,-1.0
2023-05-12,TCS,-1.0
2023-05-19,TCS,-1.0
2023-05-20,TCS,0.0
2023-04-27,TCS,-1.0
2023-05-19,TCS,0.0
2023-04-30,TCS,0.0
2023-05-03,TCS,0.0
2023-05-07,TCS,-1.0
2023-04-13,TCS,1.0
2023-05-10,TCS,0.0
2023-01-13,TCS,1.0
2023-04-27,TCS,-1.0
2023-04-25,TCS,-1.0
2023-04-24,TCS,-1.0
2023-04-20,TCS,-1.0
2023-04-19,TCS,0.0
2023-04-18,TCS,-1.0
2023-04-16,TCS,1.0
